Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
APT,29 Jun 2017,2.7,2.7,2.65,2.7,53203
APT,30 Jun 2017,2.68,2.95,2.68,2.95,21668
APT,03 Jul 2017,3.02,3.08,3,3,61756
APT,04 Jul 2017,3,3.02,2.99,3,64658
APT,05 Jul 2017,3,3.2,2.99,3.18,443935
APT,06 Jul 2017,3.2,3.2,3.13,3.15,308738
APT,07 Jul 2017,3.15,3.18,3.06,3.11,261677
APT,10 Jul 2017,3.15,3.15,2.85,2.93,431289
APT,11 Jul 2017,2.89,3.07,2.89,3.01,274609
APT,12 Jul 2017,3,3.05,3,3.03,153241
APT,13 Jul 2017,3.03,3.13,3.03,3.05,1064230
APT,14 Jul 2017,3.06,3.14,3.06,3.1,617484
APT,17 Jul 2017,3.1,3.1,3.06,3.09,283953
APT,18 Jul 2017,3.08,3.1,3.07,3.1,182952
APT,19 Jul 2017,3.11,3.11,3.09,3.1,338625
APT,07 Feb 2018,6.92,7.26,6.8,6.86,1704339
APT,06 Mar 2018,7.43,7.55,7.3,7.54,1145431
APT,18 Feb 2019,19.01,19.21,18.66,18.87,1507171
APT,08 Feb 2019,17.28,17.28,16.71,17.1,1643019
APT,06 Feb 2019,17.16,17.74,17.15,17.67,2162368
APT,25 Jan 2019,15.7,16.35,15.5,16.24,2241637
APT,16 Jan 2019,13.6,14.045,13.56,13.92,1523921
APT,11 Jan 2019,13.75,13.89,13.28,13.53,936357
APT,08 Jan 2019,12.93,13.24,12.57,13.18,1776725
APT,04 Jan 2019,11.8,12.25,11.74,12.08,966956
APT,27 Dec 2018,12.27,12.58,12.25,12.42,1578944
APT,14 Dec 2018,13.05,13.13,12.12,12.3,1491769
APT,30 Oct 2018,11.15,12.53,10.87,12.37,2235516
APT,24 Oct 2018,13,13.19,12.21,12.26,1244982
APT,19 Oct 2018,12.84,12.86,12.27,12.5,2287284
APT,17 Oct 2018,15.1,15.12,11.1,11.35,7278782
APT,11 Oct 2018,14.48,14.6,13.58,13.76,4991010
APT,10 Oct 2018,15.93,15.93,15.35,15.47,1895062
APT,09 Oct 2018,16.7,16.75,15.54,15.97,2641212
APT,08 Oct 2018,17.68,17.68,16.29,16.73,1962499
APT,28 Sep 2018,17.95,18.5,17.82,17.95,2053325
APT,07 Sep 2018,15.44,15.8,14.95,15,3874902
APT,04 Sep 2018,17.65,17.99,17.09,17.37,2124604
APT,31 Aug 2018,17.5,18.72,17.26,18.13,3015263
APT,24 Aug 2018,22.01,23,19.4,19.69,5486258
APT,23 Aug 2018,18.55,18.55,18.55,18.55,0
APT,20 Aug 2018,16.98,17.7,16.8,17.5,2779380
APT,17 Aug 2018,16.35,16.87,16.3,16.61,1726270
APT,13 Aug 2018,14.6,14.79,14.16,14.27,945136
APT,09 Aug 2018,14.75,14.86,14.18,14.3,1049047
APT,08 Aug 2018,14.65,14.95,14.44,14.66,1304677
APT,06 Aug 2018,14.61,14.77,14.2,14.31,952571
APT,03 Aug 2018,13.91,14.47,13.82,14.31,1371118
APT,02 Aug 2018,14.09,14.45,13.72,13.75,1821693
APT,31 Jul 2018,14.52,14.54,13.8,14.18,1352086
APT,30 Jul 2018,14.45,14.89,14.26,14.51,986736
APT,27 Jul 2018,13.9,14.62,13.49,14.39,1534223
APT,26 Jul 2018,14.8,14.8,13.9,13.99,2149825
APT,24 Jul 2018,15,15.18,14.4,14.43,2388144
APT,16 Jul 2018,11.01,11.11,10.6,10.75,1796733
APT,12 Jul 2018,10.5,10.97,10.45,10.85,1646554
APT,09 Jul 2018,10,10.35,9.89,10.25,1414006
APT,04 Jul 2018,9.41,9.98,9.09,9.91,1853362
APT,02 Jul 2018,9.42,9.77,9.42,9.55,1650001
APT,22 Jun 2018,8.97,8.98,8.56,8.72,1225666
APT,21 Jun 2018,9.07,9.17,8.93,8.98,1380780
APT,14 Jun 2018,8.45,9.08,8.41,9.08,2287478
APT,26 Apr 2019,24,24.5,23.51,23.82,1270740
APT,13 Jun 2018,8.46,8.55,8.41,8.43,1145450
APT,07 Jun 2018,8.26,8.28,7.8,8.18,1233713
APT,01 Jun 2018,7.8,8.11,7.62,7.7,1478917
APT,31 May 2018,7.48,7.82,7.48,7.82,1822682
APT,30 May 2018,7.75,7.78,7.38,7.4,1367064
APT,29 May 2018,7.75,7.9,7.73,7.79,1098229
APT,28 May 2018,7.71,7.83,7.65,7.7,1139188
APT,24 May 2018,7.28,7.58,7.25,7.42,2551701
APT,22 May 2018,7.1,7.36,6.9,7.17,1808029
APT,17 May 2018,7.27,7.5,7.19,7.27,1306359
APT,15 May 2018,7.16,7.68,7.16,7.45,3130223
APT,11 May 2018,7,7.03,6.6,6.84,766963
APT,10 May 2018,7.07,7.32,6.85,7,1454210
APT,09 May 2018,6.47,7.03,6.46,6.98,1454490
APT,07 May 2018,6.21,6.37,6.21,6.3,1132161
APT,04 May 2018,6.2,6.29,6.12,6.17,747459
APT,03 May 2018,5.96,6.2,5.89,6.2,786834
APT,02 May 2018,5.96,5.99,5.92,5.95,443948
APT,01 May 2018,5.98,5.98,5.84,5.93,717109
APT,30 Apr 2018,5.99,6.03,5.78,5.99,435720
APT,27 Apr 2018,5.78,5.95,5.77,5.95,503566
APT,26 Apr 2018,5.65,5.875,5.6,5.75,719775
APT,24 Apr 2018,5.46,5.61,5.41,5.57,341434
APT,23 Apr 2018,5.7,5.73,5.39,5.43,1035923
APT,20 Apr 2018,5.71,5.78,5.63,5.64,611474
APT,19 Apr 2018,6.1,6.14,5.65,5.65,672767
APT,18 Apr 2018,5.98,6.15,5.92,6,981592
APT,16 Apr 2018,5.61,5.78,5.58,5.62,464618
APT,13 Apr 2018,5.33,5.68,5.33,5.59,953382
APT,12 Apr 2018,5.45,5.46,5.26,5.35,2287078
APT,10 Apr 2018,5.52,6.04,5.43,5.94,1322093
APT,09 Apr 2018,5.49,5.6,5.425,5.47,785746
APT,06 Apr 2018,5.8,5.82,5.32,5.45,2006742
APT,05 Apr 2018,5.7,5.95,5.7,5.8,1516288
APT,04 Apr 2018,6,6,5.43,5.65,3988311
APT,03 Apr 2018,6.35,6.4,5.93,6,1743780
APT,29 Mar 2018,6.76,6.77,6.44,6.44,911608
APT,27 Mar 2018,6.86,6.92,6.74,6.76,965691
APT,26 Mar 2018,7.02,7.08,6.69,6.7,1885478
APT,23 Mar 2018,6.9,7.13,6.83,7.13,1861884
APT,22 Mar 2018,7.22,7.29,7,7.15,721280
APT,20 Mar 2018,6.71,6.96,6.33,6.93,2731773
APT,19 Mar 2018,7.32,7.41,6.81,6.88,2367687
APT,16 Mar 2018,7.57,7.615,7.285,7.32,5299119
APT,13 Mar 2018,7.87,7.87,7.76,7.8,1185352
APT,12 Mar 2018,7.92,8,7.71,7.8,2764374
APT,08 Mar 2018,7.7,7.77,7.665,7.68,1385011
APT,07 Mar 2018,7.58,7.76,7.49,7.68,2161187
APT,02 Mar 2018,7.05,7.29,6.98,7.19,1357658
APT,01 Mar 2018,7.19,7.2,6.98,7.1,1167506
APT,28 Feb 2018,7.04,7.325,6.9,7.23,871222
APT,26 Feb 2018,7.23,7.4,7.08,7.12,850555
APT,20 Feb 2018,6.65,6.94,6.63,6.94,1004336
APT,16 Feb 2018,6.75,6.87,6.73,6.75,913813
APT,14 Feb 2018,6.6,6.67,6.51,6.59,712100
APT,12 Feb 2018,6.6,6.79,6.26,6.33,1376471
APT,08 Feb 2018,6.99,7.01,6.8,6.85,969329
APT,06 Feb 2018,6.61,6.89,6.4,6.45,2100513
APT,05 Feb 2018,7.13,7.35,7,7.05,1391198
APT,02 Feb 2018,7.5,7.65,7.5,7.55,668482
APT,01 Feb 2018,7.36,7.7,7.36,7.58,499403
APT,31 Jan 2018,7.47,7.47,7.11,7.36,819374
APT,30 Jan 2018,7.71,7.74,7.51,7.52,744821
APT,29 Jan 2018,7.8,7.83,7.71,7.71,961133
APT,24 Jan 2018,7.77,7.82,7.71,7.71,648927
APT,22 Jan 2018,7.54,7.785,7.52,7.7,1213540
APT,18 Jan 2018,7.89,7.95,7.4,7.5,2000631
APT,16 Jan 2018,6.6,7.62,6.56,7.62,3209506
APT,12 Jan 2018,6.45,6.53,6.44,6.5,825978
APT,11 Jan 2018,6.43,6.56,6.31,6.43,768625
APT,10 Jan 2018,6.67,6.68,6.33,6.46,976465
APT,09 Jan 2018,6.77,6.82,6.58,6.66,986523
APT,08 Jan 2018,6.75,7,6.57,6.6,931497
APT,05 Jan 2018,6.39,6.79,6.39,6.65,1069829
APT,04 Jan 2018,6.3,6.4,6.3,6.35,356236
APT,03 Jan 2018,6.5,6.55,6.2,6.26,775104
APT,02 Jan 2018,6,6.31,6,6.26,859627
APT,29 Dec 2017,6.04,6.04,5.955,5.97,289829
APT,28 Dec 2017,6.04,6.055,5.98,6.04,385592
APT,27 Dec 2017,5.99,6.02,5.93,6.02,289408
APT,22 Dec 2017,6,6.07,5.9,5.91,967198
APT,21 Dec 2017,5.89,5.95,5.81,5.9,1893264
APT,15 Dec 2017,5.21,5.3,5.15,5.3,1275737
APT,14 Dec 2017,5.2,5.27,5.16,5.2,346987
APT,12 Dec 2017,5.19,5.27,5.19,5.26,1165229
APT,11 Dec 2017,5.16,5.21,5.13,5.17,857205
APT,07 Dec 2017,4.99,5.13,4.93,5.05,612296
APT,06 Dec 2017,5.16,5.23,4.9,4.92,1282487
APT,05 Dec 2017,5.23,5.42,5.12,5.16,1555705
APT,04 Dec 2017,5.1,5.29,5.05,5.16,2160427
APT,01 Dec 2017,5.01,5.12,4.75,4.8,1094218
APT,30 Nov 2017,5.12,5.15,4.975,5,3764664
APT,29 Nov 2017,5.1,5.24,4.95,5.08,841097
APT,28 Nov 2017,4.95,5.24,4.81,5.2,1401445
APT,27 Nov 2017,5.3,5.3,4.7,4.92,1894460
APT,23 Nov 2017,5.65,5.65,5.35,5.36,946950
APT,21 Nov 2017,5.72,5.76,5.62,5.71,656948
APT,17 Nov 2017,5.5,5.6,5.43,5.46,909212
APT,15 Nov 2017,5.84,5.85,5.6,5.79,708453
APT,13 Nov 2017,5.71,5.97,5.7,5.94,926094
APT,07 Nov 2017,5.55,5.7,5.38,5.42,907752
APT,06 Nov 2017,5.26,5.51,5.23,5.49,1070372
APT,30 Oct 2017,5.45,5.48,5.15,5.3,740823
APT,05 Oct 2017,4.22,4.23,4.12,4.13,448199
APT,04 Oct 2017,4.2,4.25,4.15,4.22,321997
APT,26 Sep 2017,4.22,4.23,4.07,4.15,594756
APT,21 Sep 2017,4.34,4.44,4.3,4.34,820437
APT,14 Aug 2017,2.96,3.04,2.95,3.04,232646
APT,08 Aug 2017,3.07,3.07,3.03,3.05,266708
APT,04 Aug 2017,3.07,3.08,3.02,3.07,80827
APT,19 Feb 2019,18.99,19.2,18.77,18.92,1864921
APT,20 Feb 2019,18.95,19.19,16.9,17.44,3912120
APT,15 Feb 2019,18.37,18.79,18.3,18.57,1764888
APT,14 Feb 2019,17.55,18.49,17.53,18.36,2106189
APT,13 Feb 2019,18,18.09,17.51,17.59,1528911
APT,12 Feb 2019,17.26,17.85,17.14,17.8,1455030
APT,11 Feb 2019,17.25,17.55,16.93,17.14,938792
APT,07 Feb 2019,17.83,18,17.31,17.58,2325561
APT,05 Feb 2019,16.58,17.06,16.57,16.86,2361773
APT,04 Feb 2019,16.26,16.67,16.17,16.35,1227648
APT,01 Feb 2019,16.11,16.53,15.96,16.21,1938245
APT,31 Jan 2019,16,16.18,15.88,15.91,1490627
APT,30 Jan 2019,16,16.27,15.65,15.72,1184069
APT,29 Jan 2019,16.2,16.48,15.64,15.71,1605778
APT,24 Jan 2019,15.57,15.94,15.17,15.6,1999775
APT,23 Jan 2019,15,15.73,15,15.24,1925171
APT,22 Jan 2019,15.26,15.76,14.92,15.25,1919161
APT,21 Jan 2019,16.48,16.97,15.19,15.25,4785592
APT,18 Jan 2019,15.45,16.415,15.1,16.1,7247455
APT,17 Jan 2019,14.06,14.45,14.06,14.25,1739490
APT,15 Jan 2019,13.15,13.6,13.05,13.57,1349917
APT,14 Jan 2019,13.36,13.63,12.86,13.05,929159
APT,10 Jan 2019,13.79,13.97,13.45,13.7,1318436
APT,09 Jan 2019,13.26,13.74,13.26,13.6,1389882
APT,28 Feb 2019,17.7,18.56,17.65,18.44,4147040
APT,07 Jan 2019,12.45,12.97,12.35,12.94,1918683
APT,03 Jan 2019,12,12.13,11.71,11.98,1092947
APT,02 Jan 2019,12.4,12.67,11.78,12,2001990
APT,31 Dec 2018,12.25,12.65,12.22,12.4,1206193
APT,28 Dec 2018,12.5,12.5,11.99,12.14,900712
APT,12 Nov 2019,29.03,29.79,28.76,29.19,2717667
APT,13 Nov 2019,31.1,31.98,27.81,29.37,4944505
APT,14 Nov 2019,30.15,31.98,30.14,31.57,5269722
APT,15 Nov 2019,31.79,33.28,31.5,32.91,2536882
APT,18 Nov 2019,33.1,33.43,31.7,32.25,2193662
APT,19 Nov 2019,32.3,32.4,30.88,31.34,2338193
APT,20 Nov 2019,31.27,31.78,30.76,31.5,1284070
APT,21 Nov 2019,31.32,31.45,30.22,30.4,1329740
APT,22 Nov 2019,30.85,31.28,30.38,30.49,851145
APT,25 Nov 2019,32.26,34.05,31.85,32.64,2450396
APT,26 Nov 2019,33.4,33.47,32.05,32.19,1586379
APT,27 Nov 2019,32.2,32.3,31.22,32.08,1190157
APT,28 Nov 2019,32.24,32.7,32.14,32.49,1201927
APT,29 Nov 2019,32.32,33.13,31.57,31.6,1946923
APT,02 Dec 2019,31.64,31.71,30.56,31.17,1588686
APT,03 Dec 2019,30.6,30.7,30.11,30.47,1340809
APT,04 Dec 2019,29.8,30.02,28.78,29.08,1982953
APT,05 Dec 2019,29.7,31.86,29.58,29.75,2207618
APT,06 Dec 2019,29.9,29.97,28.93,29.9,1358291
APT,09 Dec 2019,30,30.3,29.35,29.88,1302705
APT,10 Dec 2019,29.59,30.08,29,29.88,925723
APT,11 Dec 2019,30.03,30.09,29.21,29.47,869893
APT,12 Dec 2019,29.46,29.49,28.71,28.87,855076
APT,13 Dec 2019,28.88,29.15,28.35,28.7,875476
APT,16 Dec 2019,28.57,29.5,28.39,29.26,978332
APT,17 Dec 2019,29.5,30.06,28.7,28.79,905542
APT,18 Dec 2019,28.75,29.54,28.58,29.1,1001232
APT,19 Dec 2019,29.42,29.8,28.69,28.78,1417375
APT,20 Dec 2019,29,29.42,28.62,29.27,1420410
APT,23 Dec 2019,29.3,29.74,28.74,29.48,1092843
APT,24 Dec 2019,29.5,29.76,29.05,29.2,568100
APT,27 Dec 2019,29.6,30.71,29.48,30.58,880495
APT,04 Mar 2019,20.12,21.09,19.84,19.99,4195254
APT,24 Dec 2018,11.67,11.98,11.36,11.71,1057865
APT,21 Dec 2018,11.81,12.1,11.6,11.76,2041071
APT,20 Dec 2018,11.69,12.24,11.6,11.87,1467048
APT,19 Dec 2018,12.25,12.4,11.81,11.98,1427227
APT,18 Dec 2018,12.24,12.48,12.1,12.12,1948733
APT,17 Dec 2018,12.01,12.87,11.86,12.84,1429343
APT,05 Mar 2019,19.9,20.63,19.63,19.9,2399799
APT,13 Dec 2018,12.7,13.265,12.61,13.05,1020297
APT,12 Dec 2018,12.03,12.7,11.97,12.55,1066943
APT,11 Dec 2018,12.45,12.5,11.9,11.97,1427965
APT,10 Dec 2018,12.48,12.48,11.87,11.97,1671937
APT,07 Dec 2018,12.85,13.21,12.63,12.69,1666189
APT,06 Dec 2018,13.68,13.68,12.89,12.96,1622412
APT,05 Dec 2018,12.9,13.8,12.79,13.69,1787706
APT,04 Dec 2018,14.2,14.4,13.6,13.69,1894314
APT,03 Dec 2018,14.85,14.97,14.06,14.06,2197942
APT,30 Nov 2018,13.86,14.65,13.61,14.42,3261982
APT,29 Nov 2018,13.4,13.96,12.99,13.87,3080853
APT,28 Nov 2018,13.6,14.29,12.6,12.76,5527570
APT,27 Nov 2018,12.32,13.11,12.19,12.97,3015299
APT,26 Nov 2018,11.34,12.2,11.34,11.94,1456208
APT,23 Nov 2018,11.11,11.36,10.98,11.29,573162
APT,22 Nov 2018,10.9,11.39,10.86,11.12,1321656
APT,21 Nov 2018,10.71,10.79,10.36,10.63,2707161
APT,20 Nov 2018,11.45,11.45,11.13,11.2,2305685
APT,19 Nov 2018,12.98,12.99,11.6,11.76,2218951
APT,16 Nov 2018,11.95,13.49,11.52,12.89,3254336
APT,15 Nov 2018,11.5,11.78,11.32,11.69,1480490
APT,14 Nov 2018,11.92,12.12,11.52,11.54,1953738
APT,13 Nov 2018,11.8,12.05,11.51,11.75,2554694
APT,12 Nov 2018,12.98,13.29,12.48,12.5,1810259
APT,09 Nov 2018,13.8,13.97,13.195,13.49,2473192
APT,08 Nov 2018,14.03,14.99,14.01,14.45,2825174
APT,07 Nov 2018,13.05,13.2,12.5,13.01,1081864
APT,06 Nov 2018,12.9,13.31,12.67,13,990138
APT,05 Nov 2018,13.1,13.49,12.75,12.9,1149903
APT,02 Nov 2018,13.09,13.725,12.8,13.08,1956832
APT,01 Nov 2018,12.91,13,12.6,12.96,1435796
APT,31 Oct 2018,12.75,13.09,12.01,12.49,1972445
APT,29 Oct 2018,11.5,11.7,11.06,11.31,1938463
APT,26 Oct 2018,12.04,12.45,11.3,11.37,2084318
APT,25 Oct 2018,11.88,11.93,11.58,11.72,2126303
APT,23 Oct 2018,13,13.25,12.63,12.64,1132574
APT,22 Oct 2018,12.42,13.05,12.17,12.85,1616905
APT,08 Mar 2019,19,19.82,18.62,19.63,3000793
APT,18 Oct 2018,12.48,13.5,12.02,12.95,5830555
APT,16 Oct 2018,13.85,14.08,13.31,14,2224697
APT,15 Oct 2018,15.06,15.32,13.68,13.77,2686002
APT,12 Oct 2018,13.7,15.25,13.6,14.75,3278340
APT,12 Mar 2019,20.54,20.965,20.35,20.75,2440256
APT,13 Mar 2019,20.7,20.81,20.01,20.16,1583258
APT,05 Oct 2018,17.75,18.06,17.2,17.7,1246626
